source,target,weight,symptom,psych_symp
1,1,NaN,0000,00
2,2,NaN,0000,10
3,3,NaN,0000,00
4,4,NaN,0000,00
5,5,NaN,0100,00
6,6,NaN,0000,00
7,7,NaN,0000,00
8,8,NaN,0000,00
9,9,NaN,0000,00
10,10,NaN,0000,00
11,11,NaN,0000,01
12,12,NaN,0000,00
13,13,NaN,0000,00
14,14,NaN,0000,00
15,15,NaN,0000,00
16,16,NaN,0000,00
17,17,NaN,0000,00
18,18,NaN,0000,01
19,19,NaN,0000,00
20,20,NaN,0000,00
21,21,NaN,0000,00
22,22,NaN,0101,00
23,23,NaN,1000,00
24,24,NaN,0000,11
25,25,NaN,0000,00
26,26,NaN,0100,00
27,27,NaN,0100,01
28,28,NaN,0000,11
29,29,NaN,0101,00
30,30,NaN,0000,01
31,31,NaN,0000,00
32,32,NaN,0000,00
33,33,NaN,0000,00
34,34,NaN,0000,01
35,35,NaN,0000,00
36,36,NaN,0000,00
37,37,NaN,1100,00
38,38,NaN,0000,00
39,39,NaN,0000,00
40,40,NaN,1001,01
41,41,NaN,0000,00
42,42,NaN,0000,00
43,43,NaN,0000,00
44,44,NaN,0100,00
45,45,NaN,1111,01
46,46,NaN,0000,00
47,47,NaN,1000,01
48,48,NaN,0100,00
49,49,NaN,1001,11
50,50,NaN,0000,00
51,51,NaN,0000,00
52,52,NaN,0100,00
53,53,NaN,0000,00
54,54,NaN,0000,00
55,55,NaN,0000,00
56,56,NaN,0000,00
57,57,NaN,0000,00
58,58,NaN,0000,00
59,59,NaN,0000,00
60,60,NaN,0000,00
61,61,NaN,0000,00
62,62,NaN,0000,00
63,63,NaN,0000,00
64,64,NaN,1100,11
65,65,NaN,0000,00
66,66,NaN,0000,00
67,67,NaN,0000,01
68,68,NaN,0000,01
69,69,NaN,1100,00
70,70,NaN,0000,00
71,71,NaN,0000,00
72,72,NaN,1000,00
73,73,NaN,0000,00
74,74,NaN,0000,00
75,75,NaN,0100,00
76,76,NaN,0100,01
77,77,NaN,0000,00
78,78,NaN,0000,00
79,79,NaN,0100,00
80,80,NaN,1100,00
40,64,26,NaN,NaN
43,64,1200,NaN,NaN
64,72,12,NaN,NaN
64,78,5,NaN,NaN
14,43,33,NaN,NaN
40,43,139,NaN,NaN
43,72,140,NaN,NaN
21,27,188,NaN,NaN
24,27,38,NaN,NaN
64,68,565,NaN,NaN
19,22,110,NaN,NaN
6,44,103,NaN,NaN
20,44,223,NaN,NaN
34,44,9,NaN,NaN
36,44,233,NaN,NaN
44,77,155,NaN,NaN
1,2,46,NaN,NaN
1,11,50,NaN,NaN
1,24,96,NaN,NaN
1,57,104,NaN,NaN
1,58,86,NaN,NaN
1,63,100,NaN,NaN
49,64,8,NaN,NaN
64,69,46,NaN,NaN
16,18,68,NaN,NaN
18,22,230,NaN,NaN
18,49,489,NaN,NaN
18,71,130,NaN,NaN
20,47,12,NaN,NaN
47,77,133,NaN,NaN
40,69,460,NaN,NaN
69,72,487,NaN,NaN
1,71,119,NaN,NaN
2,71,227,NaN,NaN
16,71,106,NaN,NaN
22,71,30,NaN,NaN
52,71,143,NaN,NaN
20,64,11,NaN,NaN
64,77,622,NaN,NaN
6,64,24,NaN,NaN
16,80,103,NaN,NaN
24,80,48,NaN,NaN
